Date,Open,High,Low,Close,Adj Close,Volume
2011-05-24,212.149994,216.725006,212.000000,215.399994,203.200394,689100
2011-05-25,215.975006,221.225006,215.500000,219.074997,206.667267,1405232
2011-05-26,218.750000,223.125000,217.625000,220.350006,207.870056,3452042
2011-05-27,220.000000,224.800003,219.000000,222.475006,209.874710,3573514
2011-05-30,224.449997,233.524994,224.000000,232.199997,219.048889,5225874
2011-05-31,232.500000,240.500000,232.500000,238.725006,225.204346,2398534
2011-06-01,236.850006,240.500000,233.375000,234.975006,221.666779,1063870
2011-06-02,233.899994,240.449997,232.574997,239.250000,225.699631,1540168
2011-06-03,237.550003,242.550003,232.350006,233.824997,220.581894,982188
2011-06-06,234.850006,239.949997,234.250000,239.000000,225.463776,1219572
2011-06-07,236.800003,246.000000,236.800003,245.050003,231.171112,2259682
2011-06-08,245.500000,246.250000,238.600006,239.300003,225.746811,1696686
2011-06-09,239.500000,239.899994,235.125000,237.500000,224.048737,780026
2011-06-10,238.125000,241.250000,234.050003,236.000000,222.633682,1139574
2011-06-13,233.750000,241.000000,233.149994,240.149994,226.548630,583072
2011-06-14,239.024994,244.949997,239.024994,243.899994,230.086273,1307524
2011-06-15,244.250000,247.449997,243.350006,245.300003,231.406967,1635404
2011-06-16,241.024994,249.600006,241.024994,247.100006,233.105026,1878452
2011-06-17,243.000000,248.225006,236.425003,238.875000,225.345871,1408592
2011-06-20,242.050003,246.350006,235.925003,238.375000,224.874191,2414532
2011-06-21,238.725006,245.000000,238.625000,244.100006,230.274948,1579690
